한정애,,,,NNP,*,F,한정애,*,*,*,*,*
안경덕,,,,NNP,*,T,안경덕,*,*,*,*,*
정영애,,,,NNP,*,F,정영애,*,*,*,*,*
노형욱,,,,NNP,*,T,노형욱,*,*,*,*,*
문성혁,,,,NNP,*,T,문성혁,*,*,*,*,*
권칠승,,,,NNP,*,T,권칠승,*,*,*,*,*
김태년,,,,NNP,*,T,김태년,*,*,*,*,*
법제사법위원장,,,,NNP,*,T,법제사법위원장,*,*,*,*,*
정무위원장,,,,NNP,*,T,정무위원장,*,*,*,*,*
윤관석,,,,NNP,*,T,윤관석,*,*,*,*,*
기획재정위원장,,,,NNP,*,T,기획재정위원장,*,*,*,*,*
윤후덕,,,,NNP,*,T,윤후덕,*,*,*,*,*
유기홍,,,,NNP,*,T,유기홍,*,*,*,*,*
이원욱,,,,NNP,*,T,이원욱,*,*,*,*,*
과학기술정보방송통신위원장,,,,NNP,*,T,과학기술정보방송통신위원장,*,*,*,*,*
송영길,,,,NNP,*,T,송영길,*,*,*,*,*
민홍철,,,,NNP,*,T,민홍철,*,*,*,*,*
서영교,,,,NNP,*,F,서영교,*,*,*,*,*
도종환,,,,NNP,*,T,도종환,*,*,*,*,*
이개호,,,,NNP,*,F,이개호,*,*,*,*,*
이학영,,,,NNP,*,T,이학영,*,*,*,*,*
김민석,,,,NNP,*,T,김민석,*,*,*,*,*
송옥주,,,,NNP,*,F,송옥주,*,*,*,*,*
진선미,,,,NNP,*,F,진선미,*,*,*,*,*
김경협,,,,NNP,*,T,김경협,*,*,*,*,*
정춘숙,,,,NNP,*,T,정춘숙,*,*,*,*,*
이기택,,,,NNP,*,T,이기택,*,*,*,*,*
김재형,,,,NNP,*,T,김재형,*,*,*,*,*
조재연,,,,NNP,*,T,조재연,*,*,*,*,*
박정화,,,,NNP,*,F,박정화,*,*,*,*,*
안철상,,,,NNP,*,T,안철상,*,*,*,*,*
민유숙,,,,NNP,*,T,민유숙,*,*,*,*,*
김선수,,,,NNP,*,F,김선수,*,*,*,*,*
노정희,,,,NNP,*,F,노정희,*,*,*,*,*
이동원,,,,NNP,*,T,이동원,*,*,*,*,*
김상환,,,,NNP,*,T,김상환,*,*,*,*,*
노태악,,,,NNP,*,T,노태악,*,*,*,*,*
이흥구,,,,NNP,*,F,이흥구,*,*,*,*,*
천대엽,,,,NNP,*,T,천대엽,*,*,*,*,*
이선애,,,,NNP,*,F,이선애,*,*,*,*,*
이석태,,,,NNP,*,F,이석태,*,*,*,*,*
이은애,,,,NNP,*,F,이은애,*,*,*,*,*
김기영,,,,NNP,*,T,김기영,*,*,*,*,*
이종석,,,,NNP,*,T,이종석,*,*,*,*,*
이영진,,,,NNP,*,T,이영진,*,*,*,*,*
문형배,,,,NNP,*,F,문형배,*,*,*,*,*
이민선,,,,NNP,*,T,이민선,*,*,*,*,*
이춘석,,,,NNP,*,T,이춘석,*,*,*,*,*
조성욱,,,,NNP,*,T,조성욱,*,*,*,*,*
이준석,,,,NNP,*,T,이준석,*,*,*,*,*
이재명,,,,NNP,*,T,이재명,*,*,*,*,*
유승민,,,,NNP,*,T,유승민,*,*,*,*,*
김종인,,,,NNP,*,T,김종인,*,*,*,*,*
주호영,,,,NNP,*,T,주호영,*,*,*,*,*
김오수,,,,NNP,*,F,김오수,*,*,*,*,*
검찰총장,,,,NNP,*,T,김찰총장,*,*,*,*,*
정세현,,,,NNP,*,T,정세현,*,*,*,*,*
원인철,,,,NNP,*,T,원인철,*,*,*,*,*
남영신,,,,NNP,*,T,남영신,*,*,*,*,*
타이레놀,,,,NNP,*,T,타이레놀,*,*,*,*,*
아세트아미노펜,,,,NNP,*,T,아세트아미노펜,*,*,*,*,*
유튜버,,,,NNP,*,F,유튜버,*,*,*,*,*
유튜브,,,,NNP,*,F,유튜브,*,*,*,*,*
국민신문고,,,,NNP,*,F,국민신문고,*,*,*,*,*
주택연금,,,,NNP,*,T,주택연금,*,*,*,*,*
거리두기,,,,NNP,*,F,거리두기,*,*,*,*,*
무단횡단,,,,NNP,*,T,무단횡단,*,*,*,*,*
경기회복,,,,NNP,*,T,경기회복,*,*,*,*,*
저축성보험,,,,NNP,*,T,저축성보험,*,*,*,*,*
재난지원금,,,,NNP,*,T,재난지원금,*,*,*,*,*
지원카드,,,,NNP,*,F,지원카드,*,*,*,*,*
노마스크,,,,NNP,*,F,노마스크,*,*,*,*,*
대선행보,,,,NNP,*,F,대선행보,*,*,*,*,*
천안함,,,,NNP,*,T,천안함,*,*,*,*,*
신기술,,,,NNP,*,T,신기술,*,*,*,*,*
코로나19,,,,NNP,*,F,코로나19,*,*,*,*,*
품귀현상,,,,NNP,*,T,품귀현상,*,*,*,*,*
윤전총장,,,,NNP,*,T,윤전총장,*,*,*,*,*
중앙지검장,,,,NNP,*,T,중앙지검장,*,*,*,*,*
이명박,,,,NNP,*,T,이명박,*,*,*,*,*
박근혜,,,,NNP,*,F,박근혜,*,*,*,*,*
윤전총장,,,,NNP,*,T,윤전총장,*,*,*,*,*
공수처장,,,,NNP,*,T,공수처장,*,*,*,*,*
대체공휴일,,,,NNP,*,F,대체공휴일,*,*,*,*,*
최고위원,,,,NNP,*,T,최고위원,*,*,*,*,*
최고위원,,,,NNP,*,T,최고위원,*,*,*,*,*
당대표,,,,NNP,*,F,당대표,*,*,*,*,*
전당대회,,,,NNP,*,F,전당대회,*,*,*,*,*
플랫폼,,,,NNP,*,T,플랫폼,*,*,*,*,*
공정위,,,,NNP,*,F,공정위,*,*,*,*,*
강제징용,,,,NNP,*,T,강제징용,*,*,*,*,*
한미동맹,,,,NNP,*,F,한미동맹,*,*,*,*,*
요양급여,,,,NNP,*,F,요양급여,*,*,*,*,*
한미동맹,,,,NNP,*,F,한미동맹,*,*,*,*,*
AZ,,,,NNP,*,F,AZ,*,*,*,*,*
전면등교,,,,NNP,*,F,전면등교,*,*,*,*,*
부대변인,,,,NNP,*,T,부대변인,*,*,*,*,*
육군참모총장,,,,NNP,*,T,육군참모총장,*,*,*,*,*
이용구,,,,NNP,*,F,이용구,*,*,*,*,*
